court,n_cases,n_disposed,disposal_rate_pct,median_duration_days,mean_duration_days,p90_duration_days,pct_over_10yr,pct_over_20yr,median_hearings,mean_hearings,pct_zero_hearings,pct_pending_over_5yr,pct_pending_over_10yr,oldest_pending_years,median_pending_days,pct_govt_respondent,vocab_size,label_entropy,other_rate_pct,stuck_pct,sdi,bottleneck_class,withdrawal_rate_pct,merit_disposal_rate_pct,attrition_ratio
Allahabad HC,820114,541038,66.0,2930.0,3359.0,7194.0,43.6,9.4,3.0,4.4,4.7,100.0,64.7,46.4,2636.0,58.3,24,1.782,40.3,4.8,0.8837,Input,0.0,17.0,0.0
Andhra Pradesh HC,255322,197008,77.2,20599.0,20599.0,20599.0,100.0,100.0,0.0,1.0,81.1,100.0,100.0,56.4,2393.0,47.8,243,4.566,5.5,0.3,1.849,Input,2.4,7.4,0.324
Calcutta HC,272322,181185,66.5,3792.0,3688.0,7210.0,52.0,9.0,0.0,0.4,93.7,100.0,60.3,46.4,2440.0,69.1,350,2.261,69.7,0.6,1.1846,Input,0.1,1.1,0.063
Chhattisgarh HC,194053,166147,85.6,146.0,997.0,3275.0,7.5,0.1,2.0,2.4,38.6,100.0,27.2,36.7,956.0,75.8,33,1.616,69.1,0.0,0.9228,Capacity,1.7,5.3,0.321
Jammu Kashmir HC,251556,206727,82.2,1013.0,1714.0,4502.0,17.0,0.5,2.0,3.4,2.0,100.0,61.5,40.1,2232.0,44.0,35,2.681,3.0,0.0,1.0845,Output,0.7,3.3,0.198
Karnataka HC,367275,274903,74.8,20599.0,20599.0,20599.0,100.0,100.0,0.0,2.5,60.9,100.0,100.0,56.4,1235.0,38.5,125,2.531,21.0,1.5,1.0996,Input,0.0,3.7,0.0
Kerala HC,113993,69564,61.0,700.0,1798.0,4527.0,24.1,0.1,2.0,5.5,11.8,100.0,61.5,28.9,1917.0,42.7,54,2.767,1.2,0.7,1.1132,Capacity,0.8,4.9,0.158
Manipur HC,20498,17624,86.0,328.0,965.0,2808.0,3.9,0.0,2.0,6.3,41.3,100.0,13.5,25.6,687.0,77.1,37,2.706,50.3,3.6,1.291,Input,9.1,19.4,0.469
Meghalaya HC,8930,7841,87.8,162.0,580.0,2135.0,1.8,0.0,3.0,9.0,32.7,100.0,13.4,13.5,548.0,70.3,16,1.498,62.5,0.0,0.8496,Output,2.0,3.8,0.527
Uttarakhand HC,147331,131524,89.3,195.0,812.0,2610.0,2.7,0.1,3.0,5.9,3.1,100.0,13.3,23.2,772.0,51.4,100,2.894,8.2,0.5,1.1914,Input,3.1,8.9,0.345
